,,\I-0300A.UNIT1@NET1\,\I-5005A.UNIT1@NET1\,\FI-405/415.UNIT1@NET1\
Date,,VALUE(\I-0300A.UNIT1@NET1\),VALUE(\I-5005A.UNIT1@NET1\),VALUE(\FI-405/415.UNIT1@NET1\)
9/9/2024,2024-09-09T23:00:00,182.7508545,71.68114471,62.35391617
9/10/2024,2024-09-10T00:00:00,182.8506165,85.45857239,62.60090256
9/10/2024,2024-09-10T01:00:00,182.7584381,72.59176636,63.66953659
9/10/2024,2024-09-10T02:00:00,182.8399353,81.61837769,58.90038681
9/10/2024,2024-09-10T03:00:00,182.7662964,75.18942261,64.05400085
9/10/2024,2024-09-10T04:00:00,182.7200623,67.41352081,57.02087021
9/10/2024,2024-09-10T05:00:00,182.7180634,70.35549927,59.79431915
9/10/2024,2024-09-10T06:00:00,182.6932526,65.58345795,51.74089432
9/10/2024,2024-09-10T07:00:00,182.6811066,65.71618652,55.46944809
9/10/2024,2024-09-10T08:00:00,183.0954895,58.90273666,50.6608696
9/10/2024,2024-09-10T09:00:00,183.343811,65.8977356,53.18072128
9/10/2024,2024-09-10T10:00:00,183.4970398,70.13337708,46.63403702
9/10/2024,2024-09-10T11:00:00,183.3735962,67.32646179,55.65346527
9/10/2024,2024-09-10T12:00:00,183.7813568,77.2173996,54.13117981
9/10/2024,2024-09-10T13:00:00,183.7004852,75.09875488,57.03980255
9/10/2024,2024-09-10T14:00:00,183.1147766,103.4205399,60.5513382
9/10/2024,2024-09-10T15:00:00,182.8731079,80.46485138,74.04721069
9/10/2024,2024-09-10T16:00:00,182.9300232,90.50750732,68.33048248
9/10/2024,2024-09-10T17:00:00,182.8262939,74.82991791,66.74601746
9/10/2024,2024-09-10T18:00:00,182.9122314,89.52520752,63.47162628
9/10/2024,2024-09-10T19:00:00,182.8053131,78.43823242,67.58081055
9/10/2024,2024-09-10T20:00:00,182.9219208,91.25841522,64.14403534
9/10/2024,2024-09-10T21:00:00,182.7967529,77.58045197,66.77130127
9/10/2024,2024-09-10T22:00:00,182.923996,91.3546524,66.07394409
9/10/2024,2024-09-10T23:00:00,182.8238983,77.50979614,65.83440399
9/11/2024,2024-09-11T00:00:00,182.9106903,91.05446625,65.79302979
9/11/2024,2024-09-11T01:00:00,182.7798462,75.38460541,65.20180511
9/11/2024,2024-09-11T02:00:00,182.8767395,89.5290451,61.69308472
9/11/2024,2024-09-11T03:00:00,182.7608795,73.60837555,62.13316345
9/11/2024,2024-09-11T04:00:00,182.8533783,84.67595673,60.36574936
9/11/2024,2024-09-11T05:00:00,182.7019958,66.60745239,57.23192596
9/11/2024,2024-09-11T06:00:00,182.8057556,78.68157959,56.2313118
9/11/2024,2024-09-11T07:00:00,182.6929779,64.70581055,55.30292511
9/11/2024,2024-09-11T08:00:00,184.0705872,80.4881897,51.09001923
9/11/2024,2024-09-11T09:00:00,182.7803345,74.59796143,62.29050446
9/11/2024,2024-09-11T10:00:00,183.0336151,83.67090607,62.0617485
9/11/2024,2024-09-11T11:00:00,182.9309235,77.8336792,51.55099869
9/11/2024,2024-09-11T12:00:00,182.9291992,88.15943909,49.37998581
9/11/2024,2024-09-11T13:00:00,182.836853,71.67282867,47.90985489
9/11/2024,2024-09-11T14:00:00,184.1280975,81.73926544,51.375
9/11/2024,2024-09-11T15:00:00,182.9425507,84.17286682,61.53916168
9/11/2024,2024-09-11T16:00:00,182.8858337,78.46800995,68.18933105
9/11/2024,2024-09-11T17:00:00,182.876358,82.32137299,60.00258255
9/11/2024,2024-09-11T18:00:00,182.8191681,78.74884796,66.24246979
9/11/2024,2024-09-11T19:00:00,182.8694305,82.5898056,59.05356979
9/11/2024,2024-09-11T20:00:00,182.8875732,85.36860657,65.91286469
9/11/2024,2024-09-11T21:00:00,182.872345,86.23503113,60.97203064
9/11/2024,2024-09-11T22:00:00,182.8055573,79.7654953,67.78681183
9/11/2024,2024-09-11T23:00:00,182.9290009,92.48399353,63.24747467
9/12/2024,2024-09-12T00:00:00,182.8830566,90.01159668,75.43545532
9/12/2024,2024-09-12T01:00:00,182.8884125,86.06461334,68.20303345
9/12/2024,2024-09-12T02:00:00,182.8708344,87.00119019,73.22460938
9/12/2024,2024-09-12T03:00:00,182.8654022,85.93619537,65.60692596
9/12/2024,2024-09-12T04:00:00,182.7915039,78.21331787,70.10682678
9/12/2024,2024-09-12T05:00:00,182.8540039,83.07177734,59.70331192
